largo_rectangulo,Intento,puntos,lecturas,arbol
0.002500,0,92,23,arboles/arbol_random_str_24.bin
0.002500,1,105,15,arboles/arbol_random_str_24.bin
0.002500,2,109,18,arboles/arbol_random_str_24.bin
0.002500,3,103,27,arboles/arbol_random_str_24.bin
0.002500,4,94,25,arboles/arbol_random_str_24.bin
0.002500,5,117,22,arboles/arbol_random_str_24.bin
0.002500,6,119,23,arboles/arbol_random_str_24.bin
0.002500,7,111,22,arboles/arbol_random_str_24.bin
0.002500,8,115,25,arboles/arbol_random_str_24.bin
0.002500,9,118,23,arboles/arbol_random_str_24.bin
0.002500,10,105,22,arboles/arbol_random_str_24.bin
0.002500,11,89,22,arboles/arbol_random_str_24.bin
0.002500,12,110,25,arboles/arbol_random_str_24.bin
0.002500,13,110,15,arboles/arbol_random_str_24.bin
0.002500,14,99,19,arboles/arbol_random_str_24.bin
0.002500,15,112,22,arboles/arbol_random_str_24.bin
0.002500,16,98,17,arboles/arbol_random_str_24.bin
0.002500,17,119,21,arboles/arbol_random_str_24.bin
0.002500,18,98,17,arboles/arbol_random_str_24.bin
0.002500,19,99,27,arboles/arbol_random_str_24.bin
0.002500,20,97,17,arboles/arbol_random_str_24.bin
0.002500,21,123,33,arboles/arbol_random_str_24.bin
0.002500,22,107,20,arboles/arbol_random_str_24.bin
0.002500,23,93,22,arboles/arbol_random_str_24.bin
0.002500,24,119,29,arboles/arbol_random_str_24.bin
0.002500,25,98,12,arboles/arbol_random_str_24.bin
0.002500,26,97,24,arboles/arbol_random_str_24.bin
0.002500,27,110,22,arboles/arbol_random_str_24.bin
0.002500,28,107,12,arboles/arbol_random_str_24.bin
0.002500,29,101,13,arboles/arbol_random_str_24.bin
0.002500,30,100,18,arboles/arbol_random_str_24.bin
0.002500,31,112,17,arboles/arbol_random_str_24.bin
0.002500,32,99,19,arboles/arbol_random_str_24.bin
0.002500,33,114,26,arboles/arbol_random_str_24.bin
0.002500,34,83,24,arboles/arbol_random_str_24.bin
0.002500,35,99,9,arboles/arbol_random_str_24.bin
0.002500,36,88,20,arboles/arbol_random_str_24.bin
0.002500,37,95,18,arboles/arbol_random_str_24.bin
0.002500,38,103,25,arboles/arbol_random_str_24.bin
0.002500,39,107,17,arboles/arbol_random_str_24.bin
0.002500,40,102,19,arboles/arbol_random_str_24.bin
0.002500,41,106,28,arboles/arbol_random_str_24.bin
0.002500,42,117,22,arboles/arbol_random_str_24.bin
0.002500,43,117,23,arboles/arbol_random_str_24.bin
0.002500,44,99,21,arboles/arbol_random_str_24.bin
0.002500,45,97,27,arboles/arbol_random_str_24.bin
0.002500,46,117,25,arboles/arbol_random_str_24.bin
0.002500,47,141,27,arboles/arbol_random_str_24.bin
0.002500,48,115,32,arboles/arbol_random_str_24.bin
0.002500,49,104,29,arboles/arbol_random_str_24.bin
0.002500,50,101,19,arboles/arbol_random_str_24.bin
0.002500,51,118,33,arboles/arbol_random_str_24.bin
0.002500,52,91,28,arboles/arbol_random_str_24.bin
0.002500,53,110,21,arboles/arbol_random_str_24.bin
0.002500,54,93,16,arboles/arbol_random_str_24.bin
0.002500,55,104,18,arboles/arbol_random_str_24.bin
0.002500,56,102,26,arboles/arbol_random_str_24.bin
0.002500,57,92,22,arboles/arbol_random_str_24.bin
0.002500,58,114,17,arboles/arbol_random_str_24.bin
0.002500,59,102,24,arboles/arbol_random_str_24.bin
0.002500,60,92,22,arboles/arbol_random_str_24.bin
0.002500,61,82,31,arboles/arbol_random_str_24.bin
0.002500,62,97,21,arboles/arbol_random_str_24.bin
0.002500,63,97,26,arboles/arbol_random_str_24.bin
0.002500,64,87,27,arboles/arbol_random_str_24.bin
0.002500,65,101,19,arboles/arbol_random_str_24.bin
0.002500,66,92,14,arboles/arbol_random_str_24.bin
0.002500,67,101,27,arboles/arbol_random_str_24.bin
0.002500,68,91,22,arboles/arbol_random_str_24.bin
0.002500,69,106,23,arboles/arbol_random_str_24.bin
0.002500,70,131,24,arboles/arbol_random_str_24.bin
0.002500,71,108,22,arboles/arbol_random_str_24.bin
0.002500,72,94,26,arboles/arbol_random_str_24.bin
0.002500,73,108,23,arboles/arbol_random_str_24.bin
