archivo,datos,tiempo
arbol_random_nrstX,32768,0.059508000
arbol_random_nrstX,65536,0.230582000
arbol_random_nrstX,131072,0.149678000
arbol_random_nrstX,262144,0.216125000
arbol_random_nrstX,524288,1.991648000
arbol_random_nrstX,1048576,1.459360000
arbol_random_nrstX,2097152,2.560928000
arbol_random_nrstX,4194304,4.306830000
arbol_random_nrstX,8388608,9.723030000
arbol_random_nrstX,16777216,28.553679000
arbol_europa_nrstX,32768,0.040292000
arbol_europa_nrstX,65536,0.057598000
arbol_europa_nrstX,131072,0.122391000
arbol_europa_nrstX,262144,0.341840000
arbol_europa_nrstX,524288,0.688032000
arbol_europa_nrstX,1048576,1.260461000
arbol_europa_nrstX,2097152,2.534530000
arbol_europa_nrstX,4194304,6.268872000
arbol_europa_nrstX,8388608,11.936357000
arbol_europa_nrstX,16777216,28.245136000
arbol_random_str,32768,0.047056000
arbol_random_str,65536,0.080496000
arbol_random_str,131072,0.138414000
arbol_random_str,262144,0.322729000
arbol_random_str,524288,0.607994000
arbol_random_str,1048576,1.253074000
arbol_random_str,2097152,3.219653000
arbol_random_str,4194304,4.856055000
arbol_random_str,8388608,9.719142000
arbol_random_str,16777216,19.945954000
arbol_europa_str,32768,0.048643000
arbol_europa_str,65536,0.085238000
arbol_europa_str,131072,0.211709000
arbol_europa_str,262144,0.280029000
arbol_europa_str,524288,0.596425000
arbol_europa_str,1048576,1.152908000
arbol_europa_str,2097152,2.188236000
arbol_europa_str,4194304,4.474925000
arbol_europa_str,8388608,8.566063000
arbol_europa_str,16777216,21.670845000
